common_name,lat,lng
California yerba santa,37.00592135,-122.06005831
California yerba santa,37.0068904432,-122.0652175975
Slender Banana Slug,36.9995124,-122.0607945
Pacific poison oak,37.00454445,-122.0596388333
Western Fence Lizard,37.0070888833,-122.0645971667
Pacific poison oak,37.0067888833,-122.0621945
coast live oak,37.0224444894,-122.0859058109
coast redwood,37.0045435069,-122.0597125244
coast redwood,37.0001674,-122.0576434
Slender Banana Slug,36.99834783,-122.05864444
Slender Banana Slug,37.0014083333,-122.060425
coast redwood,37.051337,-122.073297
Pacific poison oak,37.051337,-122.073297
Slender Banana Slug,36.9991088053,-122.0628467025
coast redwood,37.003002,-122.060208
coast redwood,37.003959,-122.058728
coast redwood,37.003959,-122.058728
California yerba santa,37.0123655862,-122.0847081208
Slender Banana Slug,37.031223,-122.069623
California yerba santa,37.0412638333,-122.050225
Pacific poison oak,37.0391416667,-122.0451971667
coast live oak,37.03715,-122.0442111667
coast redwood,37.0350416667,-122.0467445
California poppy,37.0351445,-122.0490111667
California yerba santa,37.0347138333,-122.0499583333
Slender Banana Slug,37.0628380962,-122.0867516288
coast redwood,37.0624498884,-122.08675012
California yerba santa,37.0874028333,-122.0638888333
coast redwood,37.0895388333,-122.0648805
California poppy,37.0879278333,-122.0671611667
coast redwood,37.0419583333,-121.90805
California yerba santa,37.087115,-122.0653816667
Pacific poison oak,37.0033757016,-122.0603313671
California Newt,37.0453611667,-122.0301888333
Western Fence Lizard,37.0698611667,-122.0108861167
coast redwood,37.09072,-122.061848
coast live oak,37.0854058783,-122.0623384415
Slender Banana Slug,37.0641111667,-122.0964361667
Slender Banana Slug,36.9989983333,-122.0634683333
coast redwood,37.0002211117,-122.048425
Slender Banana Slug,37.0015955227,-122.0574540211
coast redwood,37.0611076942,-121.9822665119
California yerba santa,37.0505528333,-122.135475
coast redwood,37.0173317489,-122.0428136805
Western Fence Lizard,37.094244958,-122.08537817
Slender Banana Slug,37.0381706574,-122.062842249
coast redwood,37.0380870486,-122.0625194629
Pacific poison oak,37.0388239855,-122.0622819198
coast redwood,37.0387302759,-122.061498128
coast redwood,37.0358916667,-122.0596083333
coast redwood,37.001418576,-121.9034314958
California Newt,37.0785377757,-122.059072852
Slender Banana Slug,37.0518531876,-122.0854993251
California Newt,37.0805685874,-121.8816723672
coast live oak,37.0358666667,-122.0487583333
Pacific poison oak,37.0791361667,-122.0578833333
Slender Banana Slug,37.0622111667,-122.0333778333
coast redwood,37.0347861667,-122.0581445
California Newt,37.0129472167,-122.0746388333
California Newt,37.0805414157,-122.0613455772
Pacific poison oak,37.1002583333,-122.1052028333
coast redwood,37.1000055,-122.1054471667
Pacific poison oak,37.0390666667,-122.06195
coast redwood,37.0383587,-122.060962
Slender Banana Slug,37.0383587,-122.060962
Slender Banana Slug,37.0068333333,-121.90165
California Newt,37.0806422886,-122.0613569319
Slender Banana Slug,37.0806422886,-122.0613569319
Slender Banana Slug,37.00674445,-121.9015583333
California Newt,37.081277784,-122.0614642203
California Newt,37.0477778333,-122.1284333333
California Newt,37.0530536495,-122.1381855011
California poppy,37.07195,-122.0009083333
California Newt,37.0890111139,-122.0655752421
coast redwood,37.0436259061,-122.1165220357
California Newt,37.0806801925,-122.0613505227
California Newt,37.0845778333,-122.0584416667
California Newt,37.0847519012,-122.0630646521
Slender Banana Slug,37.0550075443,-122.093278188
Slender Banana Slug,37.02361213,-122.04179037
California Newt,37.08963213,-122.06446746
California Newt,37.0884328495,-122.0637323857
California Newt,37.062877655,-122.0333862305
Slender Banana Slug,37.0510575828,-122.0848709812
Slender Banana Slug,37.0676166667,-122.0293278333
California Newt,37.0133222167,-122.0700305
Mule Deer,37.001385549,-121.9382932013
Slender Banana Slug,37.0112083333,-121.9332966667
Slender Banana Slug,37.0329085,-121.8925277
California Newt,37.0852824175,-122.0619875197
California Newt,37.0820984736,-122.0613437892
California Newt,37.0848202404,-122.0627599956
California Newt,37.0848202404,-122.0627599956
Slender Banana Slug,37.0329085,-121.8925277
Slender Banana Slug,37.0633916667,-122.0843666667
California Newt,37.0817820689,-122.0612726206
California Newt,37.0817820689,-122.0612726206
California Newt,37.084766,-122.061514
coast redwood,37.01420555,-121.9370633333
Slender Banana Slug,37.0441222416,-121.8933990618
Pacific poison oak,37.0110469746,-122.069904506
Slender Banana Slug,36.9979564715,-122.0530428252
Slender Banana Slug,37.0629278333,-122.0855945
California Newt,37.0847917108,-122.0609807968
California Newt,37.0804628,-121.9058826
coast redwood,37.0416887,-122.0645521
coast redwood,37.012176,-122.0541842
California Newt,37.0889880056,-122.0603370667
coast redwood,37.0298689,-122.0403821
Slender Banana Slug,37.0298689,-122.0403821
coast redwood,36.9991916667,-122.0552445
Slender Banana Slug,37.0710067749,-122.0866165161
Slender Banana Slug,36.9982972643,-122.0592183999
Slender Banana Slug,37.0305883618,-122.043128682
coast redwood,37.0357333333,-122.0595166667
Mule Deer,37.0022972167,-122.0531166667
California yerba santa,37.026325,-122.0481638333
Pacific poison oak,37.0022734395,-122.0560214763
Pacific poison oak,37.0042038756,-122.0629289189
coast redwood,37.0026402735,-122.056097081
Slender Banana Slug,37.0032140985,-122.0610134025
Western Fence Lizard,37.0043579769,-122.0569724032
Western Fence Lizard,37.0044965716,-122.0569947829
Western Fence Lizard,36.998744784,-122.0603026171
coast redwood,36.99886132,-122.06004744
Slender Banana Slug,36.99845386,-122.05912933
Pacific poison oak,36.99829488,-122.05863262
Slender Banana Slug,36.99944159,-122.05976145
Western Fence Lizard,37.0050190157,-122.0574899019
coast redwood,37.0058133267,-122.0599193965
California yerba santa,37.00646393,-122.0610921086
yerba santa beetle,37.0063155704,-122.0610973892
California yerba santa,37.0223778333,-122.08355
Pacific poison oak,37.0223231195,-122.0860623849
